g,geracao,p,peso,v,valor,f,fitness
G:,0,peso:,14354,valor:,14436,fitness:,14436
G:,1,peso:,14354,valor:,14436,fitness:,14436
G:,2,peso:,14621,valor:,14579,fitness:,14579
G:,3,peso:,14621,valor:,14579,fitness:,14579
G:,4,peso:,14849,valor:,14868,fitness:,14868
G:,5,peso:,14849,valor:,14868,fitness:,14868
G:,6,peso:,14877,valor:,15015,fitness:,15015
G:,7,peso:,15515,valor:,15324,fitness:,15324
G:,8,peso:,15411,valor:,15523,fitness:,15523
G:,9,peso:,15539,valor:,15669,fitness:,15669
G:,10,peso:,15539,valor:,15669,fitness:,15669
G:,11,peso:,15539,valor:,15669,fitness:,15669
G:,12,peso:,15657,valor:,15840,fitness:,15840
G:,13,peso:,15751,valor:,15901,fitness:,15901
G:,14,peso:,15928,valor:,15972,fitness:,15972
G:,15,peso:,15830,valor:,16055,fitness:,16055
G:,16,peso:,16236,valor:,16150,fitness:,16150
G:,17,peso:,16292,valor:,16335,fitness:,16335
G:,18,peso:,16282,valor:,16431,fitness:,16431
G:,19,peso:,16409,valor:,16534,fitness:,16534
G:,20,peso:,16409,valor:,16534,fitness:,16534
G:,21,peso:,16277,valor:,16632,fitness:,16632
G:,22,peso:,16345,valor:,16804,fitness:,16804
G:,23,peso:,16317,valor:,16841,fitness:,16841
G:,24,peso:,16359,valor:,16954,fitness:,16954
G:,25,peso:,16387,valor:,17048,fitness:,17048
G:,26,peso:,16387,valor:,17048,fitness:,17048
G:,27,peso:,16565,valor:,17119,fitness:,17119
G:,28,peso:,16498,valor:,17178,fitness:,17178
G:,29,peso:,16449,valor:,17250,fitness:,17250
G:,30,peso:,16449,valor:,17250,fitness:,17250
G:,31,peso:,16485,valor:,17296,fitness:,17296
G:,32,peso:,16485,valor:,17296,fitness:,17296
G:,33,peso:,16543,valor:,17543,fitness:,17543
G:,34,peso:,16610,valor:,17587,fitness:,17587
G:,35,peso:,16610,valor:,17587,fitness:,17587
G:,36,peso:,16636,valor:,17617,fitness:,17617
G:,37,peso:,16707,valor:,17711,fitness:,17711
G:,38,peso:,16631,valor:,17741,fitness:,17741
G:,39,peso:,16784,valor:,17867,fitness:,17867
G:,40,peso:,16784,valor:,17867,fitness:,17867
G:,41,peso:,16798,valor:,17887,fitness:,17887
G:,42,peso:,16999,valor:,17975,fitness:,17975
G:,43,peso:,16999,valor:,17975,fitness:,17975
G:,44,peso:,17005,valor:,18155,fitness:,18155
G:,45,peso:,17066,valor:,18326,fitness:,18326
G:,46,peso:,17066,valor:,18326,fitness:,18326
G:,47,peso:,16988,valor:,18358,fitness:,18358
G:,48,peso:,17237,valor:,18551,fitness:,18551
G:,49,peso:,17237,valor:,18551,fitness:,18551
G:,50,peso:,17237,valor:,18551,fitness:,18551
G:,51,peso:,17237,valor:,18551,fitness:,18551
G:,52,peso:,17094,valor:,18702,fitness:,18702
G:,53,peso:,17278,valor:,18803,fitness:,18803
G:,54,peso:,17110,valor:,18847,fitness:,18847
G:,55,peso:,17262,valor:,18857,fitness:,18857
G:,56,peso:,17253,valor:,18928,fitness:,18928
G:,57,peso:,17305,valor:,18967,fitness:,18967
G:,58,peso:,17305,valor:,18967,fitness:,18967
G:,59,peso:,17305,valor:,18967,fitness:,18967
G:,60,peso:,17305,valor:,18967,fitness:,18967
G:,61,peso:,17305,valor:,18967,fitness:,18967
G:,62,peso:,17305,valor:,18967,fitness:,18967
G:,63,peso:,17305,valor:,18967,fitness:,18967
G:,64,peso:,17305,valor:,18967,fitness:,18967
G:,65,peso:,17305,valor:,18967,fitness:,18967
G:,66,peso:,17305,valor:,18967,fitness:,18967
G:,67,peso:,17305,valor:,18967,fitness:,18967
G:,68,peso:,17305,valor:,18967,fitness:,18967
G:,69,peso:,17305,valor:,18967,fitness:,18967
G:,70,peso:,17305,valor:,18967,fitness:,18967
G:,71,peso:,17305,valor:,18967,fitness:,18967
G:,72,peso:,17133,valor:,19027,fitness:,19027
G:,73,peso:,17133,valor:,19027,fitness:,19027
G:,74,peso:,17133,valor:,19027,fitness:,19027
G:,75,peso:,17133,valor:,19027,fitness:,19027
G:,76,peso:,17212,valor:,19029,fitness:,19029
G:,77,peso:,17212,valor:,19029,fitness:,19029
G:,78,peso:,17212,valor:,19029,fitness:,19029
G:,79,peso:,17212,valor:,19029,fitness:,19029
G:,80,peso:,17212,valor:,19029,fitness:,19029
G:,81,peso:,17212,valor:,19029,fitness:,19029
G:,82,peso:,17212,valor:,19029,fitness:,19029
G:,83,peso:,17253,valor:,19102,fitness:,19102
G:,84,peso:,17336,valor:,19198,fitness:,19198
G:,85,peso:,17336,valor:,19198,fitness:,19198
G:,86,peso:,17246,valor:,19302,fitness:,19302
G:,87,peso:,17323,valor:,19340,fitness:,19340
G:,88,peso:,17323,valor:,19340,fitness:,19340
G:,89,peso:,17323,valor:,19340,fitness:,19340
G:,90,peso:,17323,valor:,19340,fitness:,19340
G:,91,peso:,17323,valor:,19340,fitness:,19340
G:,92,peso:,17260,valor:,19341,fitness:,19341
G:,93,peso:,17255,valor:,19371,fitness:,19371
G:,94,peso:,17209,valor:,19403,fitness:,19403
G:,95,peso:,17209,valor:,19403,fitness:,19403
G:,96,peso:,17282,valor:,19500,fitness:,19500
G:,97,peso:,17282,valor:,19500,fitness:,19500
G:,98,peso:,17282,valor:,19500,fitness:,19500
G:,99,peso:,17282,valor:,19500,fitness:,19500
G:,100,peso:,17312,valor:,19559,fitness:,19559
G:,101,peso:,17312,valor:,19559,fitness:,19559
G:,102,peso:,17289,valor:,19578,fitness:,19578
G:,103,peso:,17306,valor:,19593,fitness:,19593
G:,104,peso:,17266,valor:,19655,fitness:,19655
G:,105,peso:,17266,valor:,19655,fitness:,19655
G:,106,peso:,17266,valor:,19655,fitness:,19655
G:,107,peso:,17266,valor:,19655,fitness:,19655
G:,108,peso:,17266,valor:,19655,fitness:,19655
G:,109,peso:,17210,valor:,19676,fitness:,19676
G:,110,peso:,17208,valor:,19806,fitness:,19806
G:,111,peso:,17315,valor:,19846,fitness:,19846
G:,112,peso:,17270,valor:,19897,fitness:,19897
G:,113,peso:,17087,valor:,19913,fitness:,19913
G:,114,peso:,17087,valor:,19913,fitness:,19913
G:,115,peso:,17208,valor:,19967,fitness:,19967
G:,116,peso:,17208,valor:,19967,fitness:,19967
G:,117,peso:,17208,valor:,19967,fitness:,19967
G:,118,peso:,17205,valor:,20049,fitness:,20049
G:,119,peso:,17303,valor:,20072,fitness:,20072
G:,120,peso:,17280,valor:,20118,fitness:,20118
G:,121,peso:,17280,valor:,20118,fitness:,20118
G:,122,peso:,17303,valor:,20142,fitness:,20142
G:,123,peso:,17330,valor:,20162,fitness:,20162
G:,124,peso:,17330,valor:,20162,fitness:,20162
G:,125,peso:,17330,valor:,20162,fitness:,20162
G:,126,peso:,17330,valor:,20162,fitness:,20162
G:,127,peso:,17313,valor:,20215,fitness:,20215
G:,128,peso:,17313,valor:,20215,fitness:,20215
G:,129,peso:,17313,valor:,20215,fitness:,20215
G:,130,peso:,17313,valor:,20215,fitness:,20215
G:,131,peso:,17313,valor:,20215,fitness:,20215
G:,132,peso:,17313,valor:,20215,fitness:,20215
G:,133,peso:,17313,valor:,20215,fitness:,20215
G:,134,peso:,17313,valor:,20215,fitness:,20215
G:,135,peso:,17313,valor:,20215,fitness:,20215
G:,136,peso:,17313,valor:,20215,fitness:,20215
G:,137,peso:,17313,valor:,20215,fitness:,20215
G:,138,peso:,17312,valor:,20256,fitness:,20256
G:,139,peso:,17307,valor:,20306,fitness:,20306
G:,140,peso:,17307,valor:,20306,fitness:,20306
G:,141,peso:,17307,valor:,20306,fitness:,20306
G:,142,peso:,17307,valor:,20306,fitness:,20306
G:,143,peso:,17307,valor:,20306,fitness:,20306
G:,144,peso:,17307,valor:,20306,fitness:,20306
G:,145,peso:,17222,valor:,20336,fitness:,20336
G:,146,peso:,17157,valor:,20382,fitness:,20382
G:,147,peso:,17214,valor:,20428,fitness:,20428
G:,148,peso:,17327,valor:,20431,fitness:,20431
G:,149,peso:,17115,valor:,20456,fitness:,20456
G:,150,peso:,17115,valor:,20456,fitness:,20456
G:,151,peso:,17115,valor:,20456,fitness:,20456
G:,152,peso:,17115,valor:,20456,fitness:,20456
G:,153,peso:,17244,valor:,20559,fitness:,20559
G:,154,peso:,17244,valor:,20559,fitness:,20559
G:,155,peso:,17244,valor:,20559,fitness:,20559
G:,156,peso:,17244,valor:,20559,fitness:,20559
G:,157,peso:,17244,valor:,20559,fitness:,20559
G:,158,peso:,17244,valor:,20559,fitness:,20559
G:,159,peso:,17244,valor:,20559,fitness:,20559
G:,160,peso:,17244,valor:,20559,fitness:,20559
G:,161,peso:,17244,valor:,20559,fitness:,20559
G:,162,peso:,17244,valor:,20559,fitness:,20559
G:,163,peso:,17244,valor:,20559,fitness:,20559
G:,164,peso:,17244,valor:,20559,fitness:,20559
G:,165,peso:,17335,valor:,20701,fitness:,20701
G:,166,peso:,17335,valor:,20701,fitness:,20701
G:,167,peso:,17335,valor:,20701,fitness:,20701
G:,168,peso:,17335,valor:,20701,fitness:,20701
G:,169,peso:,17335,valor:,20701,fitness:,20701
G:,170,peso:,17335,valor:,20701,fitness:,20701
G:,171,peso:,17335,valor:,20701,fitness:,20701
G:,172,peso:,17335,valor:,20701,fitness:,20701
G:,173,peso:,17335,valor:,20701,fitness:,20701
G:,174,peso:,17335,valor:,20701,fitness:,20701
G:,175,peso:,17335,valor:,20701,fitness:,20701
G:,176,peso:,17335,valor:,20701,fitness:,20701
G:,177,peso:,17335,valor:,20701,fitness:,20701
G:,178,peso:,17335,valor:,20701,fitness:,20701
G:,179,peso:,17335,valor:,20701,fitness:,20701
